playerID,name,position,leagueID
602,Dejan Lovren,DC,Premier League
607,Martin Skrtel,DC,Premier League
987,Joseph Gomez,DC,Premier League
489,James Milner,Sub,Premier League
605,Jordan Henderson,MC,Premier League
481,Jordon Ibe,Sub,Premier League
488,Philippe Coutinho,FWL,Premier League
486,Adam Lallana,Sub,Premier League
606,Christian Benteke,FW,Premier League
482,Roberto Firmino,FW,Premier League
604,Emre Can,MC,Premier League
820,Boaz Myhill,GK,Premier League
819,James Chester,DC,Premier League
664,Joleon Lescott,DC,Premier League
804,Craig Dawson,DR,Premier League
904,Chris Brunt,DL,Premier League
812,Craig Gardner,Sub,Premier League
990,James Morrison,AMC,Premier League
809,Darren Fletcher,MC,Premier League
814,James McClean,Sub,Premier League
811,Saido Berahino,FW,Premier League
816,Rickie Lambert,Sub,Premier League
880,Callum McManaman,Sub,Premier League
808,Claudio Yacob,MC,Premier League
818,Victor Anichebe,Sub,Premier League
609,Joe Hart,GK,Premier League
625,Bacary Sagna,DR,Premier League
612,Vincent Kompany,DC,Premier League
626,Eliaquim Mangala,DC,Premier League
621,Aleksandar Kolarov,DL,Serie A
614,Fernandinho,MC,Premier League
878,Yaya Touré,DMC,Premier League
616,Jesús Navas,DR,La Liga
617,David Silva,MC,Premier League
618,Raheem Sterling,FWL,Premier League
622,Wilfried Bony,FW,Premier League
877,Samir Nasri,Sub,Premier League
623,Martín Demichelis,DC,Premier League
619,Sergio Agüero,FW,Premier League
323,Adnan Januzaj,Sub,La Liga
842,Oriol Romeu,MC,Premier League
843,James Ward-Prowse,MC,Premier League
591,Gerard Deulofeu,FW,Premier League
977,Tyias Browning,Sub,Premier League
732,Yann M&#039;Vila,DMC,Ligue 1
932,Danny Graham,Sub,Premier League
919,Duncan Watmore,Sub,Premier League
796,Gary O&#039;Neil,MC,Premier League
783,Nathan Dyer,Sub,Premier League
830,Leon Britton,MC,Premier League
830,Leon Britton,DMC,Premier League
765,Steven Taylor,DC,Premier League
915,Rolando Aarons,Sub,Premier League
637,Hugo Lloris,GK,Premier League
865,Marko Arnautovic,AML,Premier League
867,Stephen Ireland,Sub,Premier League
866,Joselu,FW,La Liga
569,Almen Abdi,MR,Premier League
744,Steven Berghuis,Sub,Premier League
805,Jonas Olsson,DC,Premier League
806,Gareth McAuley,DC,Premier League
813,Salomón Rondón,FW,Premier League
938,Carl Jenkinson,DR,Premier League
542,Pedro Obiang,MC,Premier League
535,Manuel Lanzini,AMC,Premier League
526,Lee Chung-yong,Sub,Premier League
822,Patrick Bamford,FW,Premier League
492,Héctor Bellerín,DR,Premier League
545,Kieran Gibbs,DL,Premier League
970,Mikel Arteta,Sub,Premier League
936,Ramires,Sub,Premier League
1089,Juan Cuadrado,DR,Serie A
608,Alberto Moreno,DL,Premier League
975,Lee Tomlin,Sub,Premier League
975,Lee Tomlin,AMC,Premier League
825,Adam Smith,DR,Premier League
191,Chicharito,FW,Bundesliga
770,Ayoze Pérez,AMC,Premier League
942,Florian Thauvin,AMR,Ligue 1
888,Xherdan Shaqiri,AMR,Premier League
729,John O&#039;Shea,DC,Premier League
520,Bakary Sako,Sub,Premier League
743,Dwight Gayle,Sub,Premier League
675,Jack Grealish,FWL,Premier League
900,Adama Traoré,Sub,Premier League
761,Gökhan Inler,DMC,Serie A
756,Leonardo Ulloa,Sub,Premier League
653,Tom Carroll,MC,Premier League
540,Darren Randolph,GK,Premier League
993,Serge Gnabry,AML,Bundesliga
687,Pedro,Sub,Premier League
685,John Obi Mikel,DMC,Premier League
876,Fabian Delph,MC,Premier League
948,Alessandro Diamanti,AMC,Serie A
948,Alessandro Diamanti,Sub,Serie A
953,Steven Caulker,DC,Premier League
508,Calum Chambers,DC,Premier League
493,Gabriel,DC,La Liga
475,Lucas Leiva,MC,Serie A
988,Jordan Rossiter,Sub,Premier League
945,Marc Wilson,DC,Premier League
